DZCode,DZName,TotPop2022,area_hectares,area_km2
S01013940,Westhill North and South - 05,495,12.7,0.127055
S01013941,Westhill North and South - 06,898,21.47,0.214585
S01013942,Westhill Central - 01,651,19.46,0.194637
S01013943,Westhill Central - 02,571,34.86,0.348437
S01013944,Westhill Central - 03,703,20.87,0.208801
S01013945,Westhill Central - 04,428,11.87,0.118664
S01013946,Westhill Central - 05,560,17.77,0.177699
S01013947,Westhill Central - 06,851,51.61,0.516043
S01013948,Garlogie and Elrick - 01,568,122.86,1.228587
S01013949,Garlogie and Elrick - 02,904,21.25,0.212469
S01013950,Garlogie and Elrick - 03,656,13.25,0.132417
S01013951,Garlogie and Elrick - 04,795,78.09,0.780917
S01013952,Garlogie and Elrick - 05,770,17.28,0.172698
S01013953,Garlogie and Elrick - 06,431,12.03,0.120307
S01013954,Newmachar and Fintray - 01,773,4017.1,40.171071
S01013955,Newmachar and Fintray - 02,997,24.13,0.241316
S01013956,Newmachar and Fintray - 03,936,29.57,0.295818
S01013957,Newmachar and Fintray - 04,995,2936.23,29.362307
S01013958,Newmachar and Fintray - 05,877,39.4,0.394053
S01013959,Newmachar and Fintray - 06,589,15.94,0.159325
S01013960,Balmedie and Potterton - 01,485,2039.5,20.394911
S01013961,Balmedie and Potterton - 02,838,62.77,0.627773
S01013962,Balmedie and Potterton - 03,854,71.55,0.715449
S01013963,Balmedie and Potterton - 04,432,697.39,6.9738
S01013964,Balmedie and Potterton - 05,549,13.86,0.138679
S01013965,Balmedie and Potterton - 06,1009,25.23,0.252283
S01013966,Balmedie and Potterton - 07,669,862.52,8.625146
S01013967,Ellon East - 01,652,190.82,1.908153
S01013968,Ellon East - 02,718,27.24,0.272454
